DATE, INBOUND_FOR , OUTBOUND_FOR , NET_FOR , INBOUND_KZT , OUTBOUND_KZT , NET_KZT , NET_TOTAL ,USD,EUR,DELTA_NET_USD,DELTA_NET_EUR,DELTA_IN_FOR,DELTA_OUT_FOR,DELTA_NET_FOR,DELTA_IN_KZT,DELTA_OUT_KZT,DELTA_NET_KZT,CALENDAR,RATE_FOR,RATE_KZT
4/1/2016,29509318,57553668,-28044350,75530095,47608300,27921795,-122555,343.62,390.52,0.00,0.01,0.63,0.46,0.31,0.15,0.43,-0.14,SALARY,0.02,0.13
4/2/2016,24659949,21189134,3470815,45611036,32743654,12867383,16338197,342.49,390.54,0.00,0.00,-0.16,-0.63,-1.12,-0.40,-0.31,-0.54,WEEKEND,0.02,0.13
4/3/2016,6407661,6522334,-114674,21998055,17315387,4682669,4567995,342.49,390.54,0.00,0.00,-0.74,-0.69,-1.03,-0.52,-0.47,-0.64,WEEKEND,0.02,0.13
4/4/2016,20688175,39315894,-18627719,71204069,46275771,24928298,6300579,342.49,390.54,0.00,0.00,2.23,5.03,161.44,2.24,1.67,4.32,NORMAL,0.02,0.13
4/5/2016,24791256,39825247,-15033991,60428653,48288895,12139758,-2894233,344,390.82,0.00,0.00,0.20,0.01,-0.19,-0.15,0.04,-0.51,NORMAL,0.02,0.13
4/6/2016,17546524,30286385,-12739861,63059532,36321579,26737953,13998092,345.52,392.34,0.00,0.00,-0.29,-0.24,-0.15,0.04,-0.25,1.20,NORMAL,0.02,0.13
4/7/2016,15347884,39100556,-23752672,59095250,37052552,22042699,-1709974,344.54,391.02,0.00,0.00,-0.13,0.29,0.86,-0.06,0.02,-0.18,NORMAL,0.02,0.13
4/8/2016,19478033,28243544,-8765511,57213060,35028107,22184953,13419442,341.19,388.62,-0.01,-0.01,0.27,-0.28,-0.63,-0.03,-0.05,0.01,NORMAL,0.02,0.13
4/9/2016,12910976,13328087,-417112,42818410,21110459,21707951,21290840,340.31,387.1,0.00,0.00,-0.34,-0.53,-0.95,-0.25,-0.40,-0.02,WEEKEND,0.02,0.13
4/10/2016,4888114,6155657,-1267543,23815224,15505943,8309281,7041739,340.31,387.1,0.00,0.00,-0.62,-0.54,2.04,-0.44,-0.27,-0.62,WEEKEND,0.02,0.13
4/11/2016,21155342,41352824,-20197482,69882549,37881725,32000824,11803342,340.31,387.1,0.00,0.00,3.33,5.72,14.93,1.93,1.44,2.85,NORMAL,0.02,0.13
4/12/2016,17665739,53761146,-36095407,82765842,39241777,43524065,7428658,336.87,383.49,-0.01,-0.01,-0.17,0.30,0.79,0.18,0.04,0.36,NORMAL,0.02,0.13
4/13/2016,21086947,67705140,-46618193,98328648,39475616,58853032,12234839,335.64,383.37,0.00,0.00,0.19,0.26,0.29,0.19,0.01,0.35,NORMAL,0.02,0.13
4/14/2016,17241464,49555565,-32314101,74757795,37024112,37733683,5419582,333.76,377.25,-0.01,-0.02,-0.18,-0.27,-0.31,-0.24,-0.06,-0.36,NORMAL,0.02,0.13
4/15/2016,19326094,39819921,-20493827,62625550,41455113,21170437,676610,334.7,376.84,0.00,0.00,0.12,-0.20,-0.37,-0.16,0.12,-0.44,NORMAL,0.02,0.13
4/16/2016,13295468,13366450,-70982,38630800,24921886,13708915,13637933,334.41,376.61,0.00,0.00,-0.31,-0.66,-1.00,-0.38,-0.40,-0.35,WEEKEND,0.02,0.13
4/17/2016,5610511,7026215,-1415704,19391115,13280599,6110517,4694813,334.41,376.61,0.00,0.00,-0.58,-0.47,18.94,-0.50,-0.47,-0.55,WEEKEND,0.02,0.13
4/18/2016,48096699,31758372,16338327,57586477,71228558,-13642082,2696245,334.41,376.61,0.00,0.00,7.57,3.52,-12.54,1.97,4.36,-3.23,NORMAL,0.02,0.13
4/19/2016,23168856,37300462,-14131606,58656125,46023780,12632346,-1499261,340.23,384.43,0.02,0.02,-0.52,0.17,-1.86,0.02,-0.35,-1.93,NORMAL,0.02,0.13
4/20/2016,16942585,28958303,-12015718,49283380,37062161,12221219,205501,337.99,382.94,-0.01,0.00,-0.27,-0.22,-0.15,-0.16,-0.19,-0.03,NORMAL,0.02,0.13
4/21/2016,16869724,36459114,-19589390,53606228,37958117,15648111,-3941279,337.14,383.29,0.00,0.00,0.00,0.26,0.63,0.09,0.02,0.28,NORMAL,0.02,0.13
4/22/2016,14703832,24692106,-9988274,49027406,36663793,12363613,2375339,332.51,375.7,-0.01,-0.02,-0.13,-0.32,-0.49,-0.09,-0.03,-0.21,NORMAL,0.02,0.13
4/23/2016,8187154,10170839,-1983685,32486628,21891945,10594683,8610998,334.59,377.32,0.01,0.00,-0.44,-0.59,-0.80,-0.34,-0.40,-0.14,WEEKEND,0.02,0.13
4/24/2016,2986009,6944768,-3958759,17532456,15784925,1747530,-2211229,334.59,377.32,0.00,0.00,-0.64,-0.32,1.00,-0.46,-0.28,-0.84,WEEKEND,0.02,0.13
4/25/2016,16290438,27923838,-11633400,49366686,35465392,13901294,2267894,334.59,377.32,0.00,0.00,4.46,3.02,1.94,1.82,1.25,6.95,NORMAL,0.02,0.13
4/26/2016,16878950,33361356,-16482405,49077217,37055276,12021941,-4460464,333.81,375.67,0.00,0.00,0.04,0.19,0.42,-0.01,0.04,-0.14,NORMAL,0.02,0.13
4/27/2016,14804474,35618220,-20813746,54722836,33832635,20890202,76456,333.26,376.05,0.00,0.00,-0.12,0.07,0.26,0.12,-0.09,0.74,NORMAL,0.02,0.13
4/28/2016,13547176,36825681,-23278505,59774314,36457872,23316442,37937,331.08,374.58,-0.01,0.00,-0.08,0.03,0.12,0.09,0.08,0.12,NORMAL,0.02,0.13
4/29/2016,14127836,50829956,-36702120,84285029,35838033,48446996,11744876,330.41,375.15,0.00,0.00,0.04,0.38,0.58,0.41,-0.02,1.08,NORMAL,0.02,0.13
4/30/2016,10869634,16720328,-5850694,45682972,21265549,24417423,18566729,327.66,373.14,-0.01,-0.01,-0.23,-0.67,-0.84,-0.46,-0.41,-0.50,SALARY,0.02,0.13
5/1/2016,4487027,7653309,-3166282,21557277,14132495,7424783,4258501,327.66,373.14,0.00,0.00,-0.59,-0.54,-0.46,-0.53,-0.34,-0.70,SALARY,0.02,0.13
5/2/2016,9279476,9102543,176933,27482802,26157173,1325629,1502561,327.66,373.14,0.00,0.00,1.07,0.19,-1.06,0.27,0.85,-0.82,HOLIDAY,0.02,0.13
5/3/2016,25351328,31176430,-5825102,65353315,50268917,15084398,9259296,327.66,373.14,0.00,0.00,1.73,2.43,-33.92,1.38,0.92,10.38,NORMAL,0.02,0.13
5/4/2016,20877902,45776657,-24898755,63793963,50519280,13274683,-11624072,329.21,381.52,0.00,0.02,-0.18,0.47,3.27,-0.02,0.01,-0.12,NORMAL,0.02,0.13
5/5/2016,19723305,34600684,-14877379,62630405,41444296,21186109,6308729,332.51,381.79,0.01,0.00,-0.06,-0.24,-0.40,-0.02,-0.18,0.60,NORMAL,0.02,0.13
5/6/2016,22257361,30514278,-8256917,67918295,38798803,29119491,20862574,335.71,383.92,0.01,0.01,0.13,-0.12,-0.45,0.08,-0.06,0.37,NORMAL,0.02,0.13
5/7/2016,7513171,6744683,768488,34980298,18035846,16944452,17712940,334.6,382.15,0.00,0.00,-0.66,-0.78,-1.09,-0.49,-0.54,-0.42,HOLIDAY,0.02,0.13
5/8/2016,2760734,5657686,-2896953,22497470,13851965,8645506,5748553,334.6,382.15,0.00,0.00,-0.63,-0.16,-4.77,-0.36,-0.23,-0.49,NORMAL,0.02,0.13
5/9/2016,3009007,6155687,-3146681,19857890,11105130,8752760,5606079,334.6,382.15,0.00,0.00,0.09,0.09,0.09,-0.12,-0.20,0.01,HOLIDAY,0.02,0.13
5/10/2016,10426316,9304042,1122274,37882936,27888621,9994315,11116589,334.6,382.15,0.00,0.00,2.47,0.51,-1.36,0.91,1.51,0.14,HOLIDAY,0.02,0.13
5/11/2016,17261497,24732599,-7471102,57005846,40093939,16911907,9440805,334.6,382.15,0.00,0.00,0.66,1.66,-7.66,0.50,0.44,0.69,NORMAL,0.02,0.13
5/12/2016,19695671,40596062,-20900390,57618323,45084383,12533940,-8366451,333.23,379.62,0.00,-0.01,0.14,0.64,1.80,0.01,0.12,-0.26,NORMAL,0.02,0.13
5/13/2016,14677931,22470303,-7792372,51302305,41483714,9818591,2026219,329.79,376.19,-0.01,-0.01,-0.25,-0.45,-0.63,-0.11,-0.08,-0.22,NORMAL,0.02,0.13
5/14/2016,10741051,8197764,2543288,38598076,25125519,13472557,16015845,329.11,373.24,0.00,-0.01,-0.27,-0.64,-1.33,-0.25,-0.39,0.37,WEEKEND,0.02,0.13
5/15/2016,4343168,5044705,-701536,20537136,15772254,4764882,4063346,329.11,373.24,0.00,0.00,-0.60,-0.38,-1.28,-0.47,-0.37,-0.65,WEEKEND,0.02,0.13
5/16/2016,16246167,26238157,-9991989,51355083,36155013,15200070,5208080,329.11,373.24,0.00,0.00,2.74,4.20,13.24,1.50,1.29,2.19,NORMAL,0.02,0.13
5/17/2016,14684635,37927439,-23242804,53810062,42230672,11579390,-11663414,327.88,370.8,0.00,-0.01,-0.10,0.45,1.33,0.05,0.17,-0.24,NORMAL,0.02,0.13
5/18/2016,12896745,33175528,-20278783,50580151,40702955,9877196,-10401587,328.07,371.57,0.00,0.00,-0.12,-0.13,-0.13,-0.06,-0.04,-0.15,NORMAL,0.02,0.13
5/19/2016,17815928,36785247,-18969319,60191120,37619239,22571882,3602563,329.89,371.69,0.01,0.00,0.38,0.11,-0.06,0.19,-0.08,1.29,NORMAL,0.02,0.13
