DATE, INBOUND_FOR , OUTBOUND_FOR , NET_FOR , INBOUND_KZT , OUTBOUND_KZT , NET_KZT , NET_TOTAL ,USD,EUR,DELTA_NET_USD,DELTA_NET_EUR,DELTA_IN_FOR,DELTA_OUT_FOR,DELTA_NET_FOR,DELTA_IN_KZT,DELTA_OUT_KZT,DELTA_NET_KZT,DELTA_NET_TOTAL,CALENDAR,RATE_FOR,RATE_KZT
3/1/2016,27824176.0000,60762775.0000,-32938599.0000,113648423.0000,86005683.0000,27642739.0000,-5295860.0000,348.7800,380.1400,0.0030,0.0135,0.2227,0.9152,-2.6716,0.6497,0.6239,0.7353,-1.7611,SALARY,0.0240,0.1220
3/2/2016,19997969.0000,62144173.0000,-42146204.0000,102863631.0000,63450214.0000,39413417.0000,-2732787.0000,347.9600,378.0200,0.0024,0.0056,-0.2813,0.0227,-0.2795,-0.0949,-0.2623,0.4258,-0.4840,NORMAL,0.0240,0.1220
3/3/2016,18486880.0000,39911884.0000,-21425004.0000,91110285.0000,59185895.0000,31924390.0000,10499386.0000,346.5600,376.6400,0.0040,0.0037,-0.0756,-0.3578,0.4917,-0.1143,-0.0672,-0.1900,-4.8420,NORMAL,0.0240,0.1220
3/4/2016,29778131.0000,51543670.0000,-21765539.0000,92666487.0000,53638375.0000,39028112.0000,17262573.0000,345.6500,375.6500,0.0026,0.0026,0.6108,0.2914,-0.0159,0.0171,-0.0937,0.2225,0.6442,NORMAL,0.0240,0.1220
3/5/2016,16905974.0000,54707890.0000,-37801916.0000,91761584.0000,48145844.0000,43615741.0000,5813825.0000,345.2200,378.4000,0.0012,-0.0073,-0.4323,0.0614,-0.7368,-0.0098,-0.1024,0.1175,-0.6632,WEEKEND,0.0240,0.1220
3/6/2016,10136571.0000,13854513.0000,-3717942.0000,41650841.0000,23192128.0000,18458713.0000,14740771.0000,345.0200,379.6600,0.0006,-0.0033,-0.4004,-0.7468,0.9016,-0.5461,-0.5183,-0.5768,1.5355,WEEKEND,0.0240,0.1220
3/7/2016,11903183.0000,20598333.0000,-8695150.0000,48715113.0000,25088813.0000,23626300.0000,14931151.0000,345.0200,379.6600,0.0000,0.0000,0.1743,0.4868,-1.3387,0.1696,0.0818,0.2800,0.0129,HOLIDAY,0.0240,0.1220
3/8/2016,2925353.0000,23031449.0000,-20106096.0000,36113301.0000,12093882.0000,24019419.0000,3913322.0000,345.0200,379.6600,0.0000,0.0000,-0.7542,0.1181,-1.3123,-0.2587,-0.5180,0.0166,-0.7379,HOLIDAY,0.0240,0.1220
3/9/2016,25434473.0000,47374390.0000,-21939918.0000,88108569.0000,47034119.0000,41074451.0000,19134533.0000,345.0200,379.6600,0.0000,0.0000,7.6945,1.0569,-0.0912,1.4398,2.8891,0.7101,3.8896,NORMAL,0.0240,0.1220
3/10/2016,25305688.0000,55370427.0000,-30064739.0000,77904116.0000,52449473.0000,25454643.0000,-4610096.0000,344.8000,377.9000,0.0006,0.0046,-0.0051,0.1688,-0.3703,-0.1158,0.1151,-0.3803,-1.2409,NORMAL,0.0240,0.1220
3/11/2016,20243314.0000,39894282.0000,-19650969.0000,72167388.0000,47881885.0000,24285503.0000,4634534.0000,344.1900,377.4700,0.0018,0.0011,-0.2000,-0.2795,0.3464,-0.0736,-0.0871,-0.0459,-2.0053,NORMAL,0.0240,0.1220
3/12/2016,15392166.0000,13383338.0000,2008828.0000,41508287.0000,27129835.0000,14378452.0000,16387280.0000,343.9200,381.9600,0.0008,-0.0119,-0.2396,-0.6645,1.1022,-0.4248,-0.4334,-0.4079,2.5359,WEEKEND,0.0240,0.1220
3/13/2016,9012487.0000,8008966.0000,1003522.0000,24881856.0000,18998904.0000,5882951.0000,6886473.0000,343.9200,381.9600,0.0000,0.0000,-0.4145,-0.4016,0.5004,-0.4006,-0.2997,-0.5908,-0.5798,WEEKEND,0.0240,0.1220
3/14/2016,25814687.0000,33171237.0000,-7356549.0000,60513039.0000,45978989.0000,14534050.0000,7177501.0000,343.9200,381.9600,0.0000,0.0000,1.8643,3.1418,8.3307,1.4320,1.4201,1.4705,0.0423,NORMAL,0.0240,0.1220
3/15/2016,31500582.0000,44697251.0000,-13196669.0000,57799189.0000,55499734.0000,2299454.0000,-10897214.0000,343.3200,381.7700,0.0017,0.0005,0.2203,0.3475,-0.7939,-0.0448,0.2071,-0.8418,-2.5182,NORMAL,0.0240,0.1220
