DATE,IN_FOR,OUT_FOR,IN_KZT,OUT_KZT
10/23/2016,3476083.00,6119325.00,22932637.00,22381033.00
10/24/2016,20100835.00,17245768.00,64075911.00,50984908.00
10/25/2016,13136686.00,19606123.00,56143833.00,47640486.00
10/26/2016,15996715.00,21429055.00,56570086.00,44853937.00
10/27/2016,15741922.00,17814321.00,57386782.00,46360509.00
10/28/2016,29151242.00,16909992.00,60966801.00,47503046.00
10/29/2016,11954202.00,7180693.00,42697499.00,30972787.00
10/30/2016,7139490.00,5096866.00,26520354.00,22662769.00
10/31/2016,24342754.00,14159408.00,64265238.00,50143395.00
11/1/2016,27695425.00,26677874.00,77432041.00,73552724.00
11/2/2016,34661243.00,18528959.00,66950435.00,78816488.00
11/3/2016,35305846.00,22763722.00,63890714.00,68390844.00
11/4/2016,25700393.00,23231572.00,68295612.00,59681235.00
11/5/2016,15775807.00,6735578.00,50803457.00,36965225.00
11/6/2016,9653588.00,5641824.00,30137927.00,23922124.00
11/7/2016,22131396.00,23446150.00,75518640.00,59067175.00
11/8/2016,22642171.00,27688393.00,77130301.00,56234557.00
11/9/2016,29116303.00,34091189.00,90647049.00,62429249.00
11/10/2016,27983516.00,34418071.00,81602638.00,56702978.00
11/11/2016,32107653.00,34709400.00,80558483.00,64487214.00
11/12/2016,15195067.00,11197183.00,56698015.00,39447240.00
11/13/2016,9982976.00,6964566.00,33942516.00,29111559.00
11/14/2016,23225931.00,19851840.00,62558964.00,54675918.00
11/15/2016,30226695.00,37613027.00,71601845.00,57667551.00
11/16/2016,22274875.00,25594908.00,62036073.00,64337795.00
11/17/2016,13346645.00,17769753.00,56881796.00,45069491.00
11/18/2016,21326086.00,26070598.00,56360784.00,49895622.00
11/19/2016,11376979.00,7421815.00,37318898.00,28329514.00
11/20/2016,4683388.00,3834963.00,20732312.00,19968433.00
11/21/2016,12153738.00,19124377.00,52572790.00,43555893.00
11/22/2016,22016878.00,22642167.00,53818698.00,53678155.00
11/23/2016,23612684.00,15720226.00,46707273.00,60770754.00
11/24/2016,17660910.00,12558835.00,50826170.00,46325891.00
11/25/2016,19625499.00,15272832.00,53259176.00,50963499.00
11/26/2016,12324732.00,7525053.00,39636732.00,32117921.00
11/27/2016,5796497.00,3839972.00,22887807.00,22146814.00
11/28/2016,17793751.00,22627471.00,61062879.00,42872637.00
11/29/2016,16872203.00,23455397.00,60351971.00,49261362.00
11/30/2016,17431278.00,35146083.00,75395143.00,47679989.00
12/1/2016,9579109.00,21780362.00,54426766.00,40118222.00
12/2/2016,24739246.00,39019464.00,84133045.00,72733418.00
12/3/2016,10044533.00,17396055.00,55845098.00,29515530.00
12/4/2016,5686951.00,6288936.00,26062736.00,17627239.00
12/5/2016,22073727.00,85246157.00,90921528.00,72040850.00
12/6/2016,18848359.00,33402361.00,77861012.00,61687373.00
12/7/2016,18559731.00,20075319.00,72840953.00,49409020.00
12/8/2016,21008149.00,27008654.00,72257717.00,58550116.00
12/9/2016,19145503.00,23343566.00,82559182.00,63460482.00
12/10/2016,11225966.00,7346673.00,61418135.00,33604268.00
12/11/2016,5524094.00,6881525.00,35399408.00,29120683.00
12/12/2016,23354209.00,34407788.00,88655097.00,61367698.00
12/13/2016,26183156.00,28297593.00,80979332.00,69103725.00
12/14/2016,29433159.00,23676747.00,83618951.00,64000371.00
12/15/2016,25428633.00,30292433.00,95510916.00,63342956.00
12/16/2016,5679723.00,6319412.00,43442860.00,24537015.00
12/17/2016,5256601.00,7635560.00,37061231.00,22762840.00
12/18/2016,3981842.00,7199711.00,29049054.00,16751301.00
12/19/2016,7193376.00,11014617.00,51837018.00,39292069.00
12/20/2016,19720940.00,27615226.00,84446951.00,56302553.00
12/21/2016,26360050.00,39286280.00,75414666.00,66388202.00
12/22/2016,21852478.00,25090037.00,72761879.00,56914269.00
12/23/2016,35299525.00,27731644.00,70611516.00,76927474.00
12/24/2016,12045477.00,7946799.00,52896285.00,35585265.00
12/25/2016,13664580.00,11143392.00,29805494.00,27054155.00
12/26/2016,25880439.00,28982765.00,84759998.00,61388197.00
12/27/2016,21228560.00,32663465.00,97929977.00,61469883.00
12/28/2016,25667878.00,30655424.00,100698312.00,61004442.00
12/29/2016,27804588.00,41664682.00,121939937.00,69154522.00
12/30/2016,32022426.00,35106614.00,144507095.00,57804542.00
12/31/2016,10378384.00,8985254.00,75404198.00,24032690.00
1/1/2017,224112.00,358222.00,5849568.00,4623415.00
1/2/2017,357667.00,457532.00,9415798.00,6780926.00
1/3/2017,7739912.00,13735602.00,49924546.00,25890312.00
1/4/2017,21239806.00,24396685.00,88588756.00,49124853.00
1/5/2017,23946081.00,38004962.00,83956605.00,56658608.00
1/6/2017,21151190.00,28108485.00,83504285.00,56622583.00
1/7/2017,9309758.00,8196883.00,52354112.00,27275767.00
1/8/2017,5749103.00,5191587.00,28661957.00,22124913.00
1/9/2017,22231449.00,25692187.00,79521446.00,59211942.00
1/10/2017,13115585.00,36063435.00,84628268.00,59910461.00
1/11/2017,14242696.00,29349297.00,87669406.00,53237328.00
1/12/2017,15531449.00,24773575.00,74553294.00,47213079.00
1/13/2017,18712913.00,23127753.00,65870861.00,53441347.00
1/14/2017,11099921.00,10080266.00,55212467.00,31865694.00
1/15/2017,3326985.00,4676806.00,29072185.00,24120212.00
1/16/2017,15867878.00,21306748.00,73414899.00,54024578.00
1/17/2017,11095669.00,26545842.00,70776375.00,57810957.00
1/18/2017,26673043.00,24736599.00,62464957.00,64997261.00
1/19/2017,14285303.00,17602531.00,62957684.00,52630350.00
1/20/2017,14055206.00,27590966.00,65958039.00,54975644.00
1/21/2017,8665407.00,7886004.00,50841327.00,35420782.00
1/22/2017,5151970.00,4888523.00,27657218.00,24996745.00
1/23/2017,14360485.00,21334621.00,67635775.00,51135877.00
1/24/2017,20678468.00,24462817.00,67374699.00,64050797.00
1/25/2017,18378246.00,22545259.00,63819274.00,59659693.00
1/26/2017,20778486.00,22872070.00,60676546.00,58148265.00
1/27/2017,20336398.00,28451982.00,64947791.00,51607071.00
1/28/2017,9457130.00,9012891.00,47215012.00,34299582.00
1/29/2017,4969797.00,3874934.00,26566537.00,21825308.00
1/30/2017,18827828.00,18074362.00,70482319.00,54962435.00
1/31/2017,16575094.00,24201252.00,78150697.00,54865308.00
2/1/2017,42926944.00,26502784.00,93156908.00,108798337.00
2/2/2017,31099592.00,20767425.00,82260338.00,69271511.00
2/3/2017,23679134.00,23066988.00,77777222.00,112610198.00
2/4/2017,12745844.00,6756840.00,55099861.00,38808617.00
2/5/2017,6913387.00,5077560.00,32524156.00,33395049.00
2/6/2017,22890164.00,20708199.00,76665277.00,75405112.00
2/7/2017,24723292.00,24970120.00,75410770.00,78236880.00
2/8/2017,29655637.00,18323214.00,73924163.00,77193923.00
2/9/2017,20312509.00,23076348.00,79912700.00,71138969.00
2/10/2017,15998104.00,17644700.00,73978636.00,59705945.00
2/11/2017,16184019.00,9747001.00,60317703.00,41275478.00
