product,status,brand,categories,price,desc,,
13700005,new,erlit,257 240 244,114128,900x2150x900 мм акрил закрытый классический низкий полки раздвижные стекло угловая,,
13700007,new,domani-spa,257 240 244,114900,900x2180x900 мм акрил высокий дистанционное закрытый классический полки полностенное раздвижные стекло тропический душ угловая,,
13700009,new,erlit,257 240 244,194500,1000x2150x1000 мм акрил вентиляция высокий закрытый классический нестандартная полки полностенное радио раздвижные стекло электронная,,
13700011,new,am.pm,257 240 244,344690,ABS-пластик классический низкий открытый полки полностенное раздвижные стекло угловая,,
13700017,new,erlit,257 240 244,170917,1200x2150x800 мм акрил закрытый зеркало классический нестандартная низкий полностенное раздвижные стекло,,
13700020,new,erlit,257 240 244,57600,(ШxВxГ) 800x1950x420 мм акрил высокий открытый раздвижные стекло угловая,,
13700021,new,erlit,257 240 244,53200,80х80х195 см акрил высокий открытый раздвижные сифон для слива воды стекло угловая,,
13700022,new,erlit,257 240 244,61100,90х90х194 см акрил высокий открытый раздвижные стекло угловая,,
13700023,new,erlit,257 240 244,65300,1000x1950x1000 мм акрил низкий открытый раздвижные стекло угловая,,
13700024,new,erlit,257 240 244,141700,900x2150x900 мм акрил закрытый классический низкий полки раздвижные стекло тропический душ угловая электронная,,
13700025,new,erlit,257 240 244,164425,1000x2150x1000 мм акрил гидромассаж спины закрытый классический нестандартная низкий полки полностенное раздвижные стекло электронная,,
13700026,new,crystal,257 240 244,108000,90x90x220 см акрил закрытый низкий раздвижные угловая,,
13700028,new,erlit,257 240 244,108100,80х80х215 см акрил высокий закрытый раздвижные сифон для слива воды стекло угловая,,
13700029,new,erlit,257 240 244,109000,80х80х215 см акрил закрытый низкий полки раздвижные стекло тропический душ угловая,,
13700030,new,erlit,257 240 244,114014,90x90x215 мм акрил закрытый низкий полки раздвижные стекло угловая,,
13700031,new,am.pm,257 240 244,231325,900x2250x900 мм ABS-пластик вентиляция низкий открытый полностенное раздвижные стекло угловая,,
13700032,new,am.pm,257 240 244,140999,акрил высокий открытый раздвижные стекло угловая,,
13700033,new,erlit,257 240 244,112924,800x1950x800 мм акрил закрытый классический низкий полки раздвижные стекло угловая,,
13700034,new,am.pm,257 240 244,135999,акрил низкий открытый раздвижные стекло угловая,,
13700035,new,erlit,257 240 244,135955,80х80х195 см акрил закрытый низкий полки полностенное раздвижные стекло угловая,,
13700036,new,erlit,257 240 244,125875,1200x2150x800 мм акрил закрытый зеркало классический нестандартная низкий полностенное раздвижные стекло,,
13700037,new,erlit,257 240 244,125875,1200x2150x800 мм акрил закрытый зеркало классический нестандартная низкий полностенное раздвижные стекло,,
13700038,new,triton,257 240 244,66490,90x209x90 см акрил высокий двухстенное защита от перегрева открытый полукруглая раздвижные стекло,,
13700039,new,erlit,257 240 244,64740,1000x1000x1950 мм акрил закрытый низкий полукруглая раздвижные стекло,,
13700040,new,erlit,257 240 244,67227,1000x1000x1950 мм акрил закрытый низкий полукруглая раздвижные,,
13700041,new,erlit,257 240 244,108940,800x800x2150 мм акрил закрытый низкий полукруглая раздвижные стекло,,
13700042,new,erlit,257 240 244,129350,1000x1000x2150 мм акрил высокий закрытый полукруглая раздвижные стекло,,
13700043,old,erlit,257 240 244,0,1000x1000x2150 мм акрил высокий закрытый полукруглая раздвижные стекло,,
12400036,new,bosch,162 240 163,353094,,,
12400044,new,dewalt,162 240 163,46075,,,
12400033,new,bosch,162 240 163,215500,,,
12400042,new,dewalt,162 240 163,174595,,,
12400046,new,dewalt,162 240 163,63050,,,
12400043,new,dewalt,162 240 163,189150,,,
