iter	RMSE
836	43.45373478
837	43.42989163
838	43.42987192
839	43.42985337
840	43.41127857
841	43.40254135
842	43.39536693
843	43.38007163
844	43.38002823
845	43.35147405
846	43.33800535
847	43.33149733
848	43.32493634
849	43.32381335
850	43.31367627
851	43.2948707
852	43.29374229
853	43.29355919
854	43.28877798
855	43.25349958
856	43.2433761
857	43.21784955
858	43.21781329
859	43.20311434
860	43.19104439
861	43.19101137
862	43.19087157
863	43.19086264
864	43.1826553
865	43.16375489
866	43.14944148
867	43.14940105
868	43.1222307
869	43.12220723
870	43.09531046
871	43.09502447
872	43.07633223
873	43.06512081
874	43.05279336
875	43.03014906
876	43.01386254
877	43.01385408
878	43.0122689
879	43.01215794
880	42.9963913
881	42.99632869
882	42.98939543
883	42.97943465
884	42.96837174
885	42.95451458
886	42.94242628
887	42.91406825
888	42.90902246
889	42.8882714
890	42.88335435
891	42.88319673
892	42.87256075
893	42.86556255
894	42.8655304
895	42.86551412
896	42.86521792
897	42.85291927
898	42.85289523
899	42.85284234
900	42.85279187
901	42.83694247
902	42.80739003
903	42.80278364
904	42.7970416
905	42.78240963
906	42.74933267
907	42.73913194
908	42.71545421
909	42.71536183
910	42.7151492
911	42.70747046
912	42.7072714
913	42.70719909
914	42.69381304
915	42.67677194
916	42.67675922
917	42.67629596
918	42.65710892
919	42.64414529
920	42.63565129
921	42.62523765
922	42.62467168
923	42.6151093
924	42.61095053
925	42.61094911
926	42.60484867
927	42.60167666
928	42.59856399
929	42.57968017
930	42.57383632
931	42.57382913
932	42.57245533
933	42.55329479
934	42.55326278
935	42.54357868
936	42.53173045
937	42.50941941
938	42.50923652
939	42.50494005
940	42.50491843
941	42.50489854
942	42.49889058
943	42.49237277
944	42.47945635
945	42.45409042
946	42.43100099
947	42.43093221
948	42.42636342
949	42.41506463
950	42.3957438
951	42.39006467
952	42.37946223
953	42.37155837
954	42.35903529
955	42.35874416
956	42.35200939
957	42.35196946
958	42.35193125
959	42.34145116
960	42.33811022
961	42.33806902
962	42.33104339
963	42.33089988
964	42.3307631
965	42.31654036
966	42.28996751
967	42.27766177
968	42.27273832
969	42.25797596
970	42.25795851
971	42.24924366
972	42.23291768
973	42.22568448
974	42.22563508
975	42.21657468
976	42.2088077
977	42.19903366
978	42.16652277
979	42.16163714
980	42.16149811
981	42.16145577
982	42.15486216
983	42.13304951
984	42.11044187
985	42.10321237
986	42.08789621
987	42.08785894
988	42.07284713
989	42.07272303
990	42.05029109
991	42.04883316
992	42.04878171
993	42.04861834
994	42.04859017
995	42.0352793
996	42.03526233
997	42.02242642
998	42.01734992
999	42.01178297
